id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2024-01-01;6532.98604167
NE;Nordeste;2024-01-01;11658.74008333
S;Sul;2024-01-01;10472.40329167
SE;Sudeste/Centro-Oeste;2024-01-01;35089.38670833
N;Norte;2024-01-02;7154.33433333
NE;Nordeste;2024-01-02;12642.99208333
S;Sul;2024-01-02;12956.08525000
SE;Sudeste/Centro-Oeste;2024-01-02;41347.51754167
N;Norte;2024-01-03;7160.81108333
NE;Nordeste;2024-01-03;13147.95679167
S;Sul;2024-01-03;13443.96695833
SE;Sudeste/Centro-Oeste;2024-01-03;44219.54550000
N;Norte;2024-01-04;7281.33133333
NE;Nordeste;2024-01-04;13448.05870833
S;Sul;2024-01-04;13904.14791667
SE;Sudeste/Centro-Oeste;2024-01-04;43571.44904167
N;Norte;2024-01-05;7307.10987500
NE;Nordeste;2024-01-05;13562.10008333
S;Sul;2024-01-05;13813.90220833
SE;Sudeste/Centro-Oeste;2024-01-05;43669.79008333
N;Norte;2024-01-06;6966.52754167
NE;Nordeste;2024-01-06;12986.91875000
S;Sul;2024-01-06;13046.68654167
SE;Sudeste/Centro-Oeste;2024-01-06;41671.46645833
N;Norte;2024-01-07;6636.06170833
NE;Nordeste;2024-01-07;12055.47520833
S;Sul;2024-01-07;12846.31095833
SE;Sudeste/Centro-Oeste;2024-01-07;39885.60000000
N;Norte;2024-01-08;7288.12737500
NE;Nordeste;2024-01-08;13516.60504167
S;Sul;2024-01-08;16220.49350000
SE;Sudeste/Centro-Oeste;2024-01-08;47088.04725000
N;Norte;2024-01-09;7423.89466667
NE;Nordeste;2024-01-09;13660.09445833
S;Sul;2024-01-09;16444.15704167
SE;Sudeste/Centro-Oeste;2024-01-09;48753.35779167
N;Norte;2024-01-10;7339.05362500
NE;Nordeste;2024-01-10;13755.30945833
S;Sul;2024-01-10;16393.82204167
SE;Sudeste/Centro-Oeste;2024-01-10;49302.80891667
N;Norte;2024-01-11;7405.88520833
NE;Nordeste;2024-01-11;13402.46866667
S;Sul;2024-01-11;16248.09295833
SE;Sudeste/Centro-Oeste;2024-01-11;49274.86712500
N;Norte;2024-01-12;7008.27362500
NE;Nordeste;2024-01-12;13248.26233333
S;Sul;2024-01-12;15124.02966667
SE;Sudeste/Centro-Oeste;2024-01-12;48741.83491667
N;Norte;2024-01-13;6799.20800000
NE;Nordeste;2024-01-13;12791.70500000
S;Sul;2024-01-13;13041.35433333
SE;Sudeste/Centro-Oeste;2024-01-13;43804.58725000
N;Norte;2024-01-14;6550.80483333
NE;Nordeste;2024-01-14;11886.52841667
